Flight No.;Launch site;Payload;Payload mass;Orbit;Customer;Launch outcome;Version Booster;Booster landing;Date;Time
53;CCAFS,SLC-40;Transiting Exoplanet Survey Satellite (TESS);362kg;HEO for P/2 orbit;NASA (LSP);Success;F9 B4B1045.1;Success(drone ship);18 April 2018;22:51
54;KSC,LC-39A;Bangabandhu-1;3,600kg;GTO;Thales-Alenia / BTRC;Success;F9 B5B1046.1;Success(drone ship);11 May 2018;20:14
55;VAFB,SLC-4E;Iridium NEXT-6(5 satellites)GRACE-FO × 2;6,460kg;Polar LEO;Iridium CommunicationsGFZ• NASA;Success;F9 B4 ♺B1043.2;Not attempted;22 May 2018;19:47
56;CCAFS,SLC-40;SES-12;5,384kg;GTO;SES;Success;F9 B4 ♺B1040.2;Not attempted;4 June 2018;04:45
57;CCAFS,SLC-40;SpaceX CRS-15(Dragon C111.2 ♺);2,697kg;LEO (ISS);NASA (CRS);Success;F9 B4 ♺B1045.2;Not attempted;29 June 2018;09:42
58;CCAFS,SLC-40;Telstar 19V;7,075kg;GTO;Telesat;Success;F9 B5B1047.1;Success(drone ship);22 July 2018;05:50
59;VAFB,SLC-4E;Iridium NEXT-7(10 satellites);9,600kg;Polar LEO;Iridium Communications;Success;F9 B5B1048.1;Success(drone ship);25 July 2018;11:39
60;CCAFS,SLC-40;Merah Putih (formerly Telkom 4);5,800kg;GTO;Telkom Indonesia;Success;F9 B5 ♺ B1046.2;Success(drone ship);7 August 2018;05:18
61;CCAFS,SLC-40;Telstar 18V / Apstar-5C;7,060kg;GTO;Telesat;Success;F9 B5B1049.1;Success(drone ship);10 September 2018;04:45
62;VAFB,SLC-4E;SAOCOM 1A;3,000kg;SSO;CONAE;Success;F9 B5 ♺B1048.2;Success(ground pad);8 October 2018;02:22
63;KSC,LC-39A;Es'hail 2;5,300kg;GTO;Es'hailSat;Success;F9 B5 ♺B1047.2;Success(drone ship);15 November 2018;20:46
64;VAFB,SLC-4E;SSO-A (SmallSat Express);~4,000kg;SSO;Spaceflight Industries;Success;F9 B5 ♺ B1046.3SHERPA;Success(drone ship);3 December 2018;18:34:05
